iter	Passed	Remaining
0	2	283
1	4	233
2	6	215
3	8	198
4	9	176
5	10	157
6	10	145
7	11	136
8	12	128
9	13	124
10	15	123
11	16	117
12	16	112
13	17	108
14	19	111
15	21	114
16	23	114
17	24	113
18	26	111
19	27	109
20	28	106
21	28	102
22	29	99
23	30	95
24	31	93
25	31	91
26	33	89
27	34	88
28	35	86
29	36	84
30	36	82
31	37	80
32	38	78
33	39	76
34	40	74
35	40	72
36	41	70
37	42	69
38	43	67
39	43	65
40	44	64
41	45	62
42	45	60
43	46	59
44	47	58
45	48	57
46	49	55
47	50	54
48	50	53
49	51	51
50	52	50
51	53	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	56	41
58	57	40
59	58	38
60	59	37
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	70	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
